arrest_key,arrest_date,pd_desc,ofns_desc,law_cat_cd,age_group,perp_sex,perp_race,arrest_boro,latitude,longitude
206882634,2019-12-31,WEAPONS POSSESSION 1 & 2,DANGEROUS WEAPONS,F,45-64,M,BLACK,K,40.6760199,-73.881272806
206883990,2019-12-31,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,M,45-64,M,WHITE HISPANIC,B,40.859264399,-73.886733455
206883991,2019-12-31,"MURDER,UNCLASSIFIED",MURDER & NON-NEGL. MANSLAUGHTE,F,25-44,M,BLACK,B,40.8377816180001,-73.919457971
206885163,2019-12-31,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,F,25-44,M,WHITE,S,40.614816354,-74.129163848
206886047,2019-12-31,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,M,25-44,M,WHITE HISPANIC,B,40.8113931190001,-73.922314872
206886057,2019-12-31,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,M,45-64,M,WHITE HISPANIC,M,40.7413413730001,-73.978392609
206888080,2019-12-31,"CONTEMPT,CRIMINAL",OFFENSES AGAINST PUBLIC ADMINI,M,18-24,M,BLACK,K,40.636762182,-73.920576127
206888081,2019-12-31,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,F,25-44,F,BLACK,K,40.576751534,-73.983712353
206890435,2019-12-31,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,F,45-64,M,BLACK,M,40.799709987,-73.9431255709999
206890964,2019-12-31,RESISTING ARREST,OFFENSES AGAINST PUBLIC ADMINI,M,18-24,F,WHITE HISPANIC,B,40.8810845880001,-73.8784873289999
206892150,2019-12-31,VEHICULAR ASSAULT (INTOX DRIVE,MISCELLANEOUS PENAL LAW,F,25-44,F,WHITE HISPANIC,K,40.694098282,-73.934268838
206877919,2019-12-30,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,M,25-44,F,BLACK HISPANIC,B,40.810398494,-73.9248953109999
206877925,2019-12-30,"BURGLARY,UNCLASSIFIED,UNKNOWN",BURGLARY,F,45-64,M,BLACK,B,40.810398494,-73.9248953109999
206877955,2019-12-30,CRIMINAL CONTEMPT 1,MISCELLANEOUS PENAL LAW,F,18-24,M,WHITE,K,40.602070698,-74.002691509
